subject,body,sender,label
New credit card bill generated!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, A new credit card bill has been generated! Bank: IDFC FIRST Bank Credit Card Card: **** Total due: ₹1679 Minimum due: ₹",no-reply@kotak.com,EXPENSE
Payment of INR 10.00 successful,"If you are unable to view the below e-mailer, please click here. Dear customer, You have successfully made a UPI payment of INR 10.00 towards Ganpati Super Mart through the Kotak811 App. More details",no-reply@kotak.com,EXPENSE
New credit card bill generated!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, A new credit card bill has been generated! Bank: HDFC BANK CREDIT CARD Card: **** Total due: ₹1153 Minimum due: ₹ Due date",no-reply@kotak.com,EXPENSE
New credit card bill generated!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, A new credit card bill has been generated! Bank: HDFC BANK CREDIT CARD Card: **** Total due: ₹1321 Minimum due: ₹ Due date",no-reply@kotak.com,EXPENSE
New credit card bill generated!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, A new credit card bill has been generated! Bank: Axis Bank Credit Card Card: **** Total due: ₹846 Minimum due: ₹ Due date:",no-reply@kotak.com,EXPENSE
Your payment of ₹ 202.0 to Zepto  was successful,"Hi Shivam, Your payment to Zepto was Approved Paid to Amount Zepto ₹202.0 Seller Zepto Zepto Id Z-AGONVSOMFJZJNCLEA7ZWUANEEU-1 Transaction ID P04-0103835-2514535 Payment date Wednesday, 11 March, 2026",no-reply@amazonpay.in,EXPENSE
Payment of INR 99.00 successful,"If you are unable to view the below e-mailer, please click here. Dear customer, You have successfully made a UPI payment of INR 99.00 towards APPLE MEDIA SERVICES through the Kotak811 App. More details",no-reply@kotak.com,EXPENSE
Payment of INR 119.00 successful,"If you are unable to view the below e-mailer, please click here. Dear customer, You have successfully made a UPI payment of INR 119.00 towards APPLE MEDIA SERVICES through the Kotak811 App. More",no-reply@kotak.com,EXPENSE
Your payment of ₹ 301.0 to Zepto  was successful,"Hi Shivam, Your payment to Zepto was Approved Paid to Amount Zepto ₹301.0 Seller Zepto Zepto Id Z-AGONA2EUBNZJ3FK5BJQ432UTFY-1 Transaction ID P04-7170907-6228814 Payment date Monday, 09 March, 2026 07:",no-reply@amazonpay.in,EXPENSE
Payment of INR 400.00 successful,"If you are unable to view the below e-mailer, please click here. Dear customer, You have successfully made a UPI payment of INR 400.00 towards ASHOK KUMAR YADAV through the Kotak811 App. More details",no-reply@kotak.com,EXPENSE
Payment of INR 150.00 successful,"If you are unable to view the below e-mailer, please click here. Dear customer, You have successfully made a UPI payment of INR 150.00 towards SAURABH YADAV through the Kotak811 App. More details below",no-reply@kotak.com,EXPENSE
