subject,body,sender,label
Your order has been confirmed,Your Amazon order #123-456 for ₹1499 has been confirmed. Payment received via UPI.,order-update@amazon.in,EXPENSE
Payment receipt for subscription,Thank you for your payment of ₹999/month for Netflix. Your subscription is renewed.,no-reply@netflix.com,EXPENSE
Transaction alert: INR 2000 debited,Dear Customer your account has been debited INR 2000 for Swiggy order #987.,alerts@bank.com,EXPENSE
Receipt for Zomato order,Order delivered! Total paid: ₹350 via Paytm Wallet.,noreply@zomato.com,EXPENSE
Monthly EMI deducted,Your EMI of Rs. 5000 for loan account has been auto-debited successfully.,emi@hdfc.com,EXPENSE
Recharge successful,Your mobile recharge of ₹599 for 9876543210 is successful.,recharge@jio.com,EXPENSE
UPI payment confirmed,You have paid ₹1200 to merchant via UPI. Ref: 123456789.,upi@paytm.com,EXPENSE
Order shipped: delivery by tomorrow,Your Flipkart order worth ₹3499 has been shipped. Expected delivery tomorrow.,ship@flipkart.com,EXPENSE
Electricity bill paid,Your electricity bill payment of Rs 1840 for account 123456 is confirmed.,bills@bsesdelhi.com,EXPENSE
Credit card statement,Your HDFC credit card bill of ₹15432 is due on 10th. Minimum due: ₹775.,statement@hdfc.com,EXPENSE
Cab ride receipt,Your Uber ride receipt. Fare: ₹245. Payment method: Credit Card ending 1234.,receipt@uber.com,EXPENSE
Grocery order delivered,BigBasket order delivered. Amount paid: ₹1250 via debit card.,orders@bigbasket.com,EXPENSE
Medical bill receipt,Apollo Pharmacy order #5678. Total amount: ₹890. Payment received.,pharmacy@apollo.com,EXPENSE
Amazon Pay recharge done,Amazon Pay wallet recharged with ₹500 from your bank account.,amazonpay@amazon.in,EXPENSE
Swiggy Instamart order,Your grocery order from Swiggy Instamart. Total: ₹540. Paid via UPI.,noreply@swiggy.com,EXPENSE
Water bill paid,Delhi Jal Board water bill of ₹380 paid for consumer 9876543.,bills@djb.gov.in,EXPENSE
Tax payment receipt,Income tax advance payment of ₹25000 confirmed. Challan: 1234567.,noreply@incometax.gov.in,EXPENSE
Petrol pump receipt,HPCL fuel purchase: 15 litres. Total: ₹1620. Payment via credit card.,receipt@hpcl.com,EXPENSE
School fee receipt,Monthly fee of ₹4500 for April received. Student: Rohan Sharma.,fees@school.edu,EXPENSE
Freelance invoice paid,Payment of USD 500 received for project #2024-03.,payment@upwork.com,EXPENSE
Salary credited for March,Your salary for March has been credited to your bank account ending 4567.,hr@company.com,NOT_EXPENSE
GST invoice from vendor,GST Invoice No: INV-2024-056. Amount payable: ₹18500 + GST ₹3330.,accounts@vendor.co.in,EXPENSE
Office supplies order confirmation,Your order for stationery items from Amazon Business has been confirmed. Total: ₹2340.,business@amazon.in,EXPENSE
Platform fee charged,Marketplace platform fee of ₹450 charged to your seller account for March.,fees@marketplace.com,EXPENSE
Cashback received,Congratulations! ₹150 cashback credited to your PhonePe wallet for your recent purchase.,cashback@phonepe.com,EXPENSE
Late payment fee added,A late payment fee of ₹100 has been added to your credit card account.,cards@bank.com,EXPENSE
Fuel bill from company card,Corporate card transaction: Fuel purchase ₹2200 at HP petrol pump on 22 Mar.,corporate@bank.com,EXPENSE
AWS bill for March,Your AWS bill for March is ready. Total charges: $45.67. Due date: April 15.,billing@aws.amazon.com,EXPENSE
Domain renewal notice,Your domain example.com has been renewed for 1 year. Amount charged: ₹799.,billing@godaddy.com,EXPENSE
Courier charges paid,Blue Dart courier charges of ₹350 debited for shipment tracking 123456.,noreply@bluedart.com,EXPENSE
Dental checkup bill,Your dental appointment bill: ₹1500. Dr. Sharma Dental Clinic. Receipt attached.,billing@clinic.com,EXPENSE
SaaS subscription invoice,Invoice for Zoho CRM subscription. Plan: Professional. Amount: ₹2999/month.,billing@zoho.com,EXPENSE
Food delivery order paid,Your Dunzo order has been delivered. Total: ₹280 paid via card.,noreply@dunzo.com,EXPENSE
E-learning course purchased,You have enrolled in the Python Masterclass. Amount paid: ₹1499.,noreply@udemy.com,EXPENSE
Ola ride payment confirmed,Your Ola ride fare of ₹190 has been paid via Ola Money.,noreply@ola.com,EXPENSE
Conference registration paid,Payment of ₹5000 received for PyConIndia 2024 registration.,registration@pyconindia.org,EXPENSE
Printer ink ordered,Staples order confirmed. HP Ink Cartridge 2-pack: ₹890 charged to your card.,orders@staples.com,EXPENSE
Newspaper digital subscription,Your Hindu e-paper annual subscription of ₹999 has been activated.,subscription@thehindu.com,EXPENSE
EMI reminder for home loan,Your home loan EMI of ₹22000 will be auto-debited on 5th April from your account.,homeloan@sbi.com,EXPENSE
Your credit card bill is due on Mar 20,Your credit card bill of ₹4339.85 is due. Pay now to maintain your credit score. Total outstanding: ₹4339.85.,protect@cred.club,NOT_EXPENSE
Credit card bill due tomorrow!,Your Kotak credit card bill of ₹1445 is due tomorrow. Pay now to avoid late fees.,no-reply@kotak.com,NOT_EXPENSE
Credit card bill due in 5 days!,Your Kotak811 credit card bill of ₹350 is due in 5 days. Minimum amount due: ₹35.,no-reply@kotak.com,NOT_EXPENSE
Transaction alert for your ICICI Bank Credit Card,Your ICICI Bank Credit Card ending XX49 has been used for a transaction of INR 51.00 at UPI merchant.,credit_cards@icicibank.com,EXPENSE
Transaction alert for your ICICI Bank Credit Card,Your ICICI Bank Credit Card ending XX49 has been used for INR 700.00 at an online merchant. If not done by you call 1800-XXX.,credit_cards@icicibank.com,EXPENSE
Card transaction - successful,Your Kotak Bank Credit Card ••1949 was charged ₹210.00 at merchant. Available credit limit: ₹48500.,alerts@kotak.com,EXPENSE
New credit card bill generated!,Your Kotak811 credit card bill for the period Feb 18 - Mar 17 has been generated. Total amount due: ₹1679.00.,no-reply@kotak.com,NOT_EXPENSE
Transaction Successful,Your Kotak bank account has been debited for ₹10000.00. Transaction ID: TXN2026032219.,no-reply@kotak.com,EXPENSE
Payment of INR 10.00 successful,Your UPI payment of INR 10.00 to merchant was successful. UPI Ref: 123456789.,no-reply@kotak.com,EXPENSE
Payment received on your ICICI Bank Credit Card,We have received a payment of ₹4339.85 on your ICICI Bank Credit Card ending XX49. Thank you.,credit_cards@icicibank.com,EXPENSE
Planned automatic Credit Card payment,Your automatic credit card payment of $5.84 has been processed for your Contabo VPS subscription.,no-reply@contabo.com,EXPENSE
Card online transaction- Successful,Transaction of INR 553.32 successful on your Kotak debit card at online merchant. Ref: 456789.,alerts@kotak.com,EXPENSE
Transaction Success Alert MOTO/SI,Transaction of INR 199.00 via MOTO/SI on your Kotak card was successful. Merchant: Amazon.,alerts@kotak.com,EXPENSE
Payment successful for your Kotak neo account,Payment of ₹5000 has been successfully received for your Kotak neo trading account.,noreply@nmail.kotaksecurities.com,EXPENSE
Your Zerodha account statement,Your Zerodha trading account was debited ₹2500 for equity purchase. Contract note attached.,noreply@zerodha.com,EXPENSE
SIP installment debited,Your SIP installment of ₹3000 for Axis Bluechip Fund has been debited from your account.,sip@axismf.com,EXPENSE
PhonePe UPI payment,You paid ₹450 to Dominos Pizza via PhonePe UPI. Ref: UPI20260322.,noreply@phonepe.com,EXPENSE
Google Play purchase,You made a purchase of ₹129.00 on Google Play. Order ID: GPA.1234-5678.,payments-noreply@google.com,EXPENSE
Apple subscription renewed,Your iCloud+ 50GB plan has been renewed. Amount charged: ₹75.00 to your card.,no_reply@email.apple.com,EXPENSE
JioMart order delivered,Your JioMart grocery order has been delivered. Total: ₹870. Payment via JioPay.,orders@jiomart.com,EXPENSE
Razorpay payment receipt,Payment of ₹1500 to TechCorp via Razorpay was successful. Invoice attached.,noreply@razorpay.com,EXPENSE
ACT Fibernet bill paid,Your ACT Fibernet internet bill of ₹1199 for March has been paid. Next due: April 15.,billing@actcorp.in,EXPENSE
Tata Play DTH recharge,Your Tata Play DTH recharge of ₹400 is successful. Pack: Hindi Smart HD.,recharge@tataplay.com,EXPENSE
Myntra order confirmed,Your Myntra order for 2 items has been confirmed. Total: ₹1899. Paid via Kotak Credit Card.,orders@myntra.com,EXPENSE
Paytm postpaid bill,Your Paytm Postpaid bill of ₹2340 for March is due on April 5. Pay now.,billing@paytm.com,EXPENSE
Nykaa order shipped,Your Nykaa order #NK789 worth ₹1350 has been shipped. COD amount: ₹1350.,orders@nykaa.com,EXPENSE
SBI credit card transaction,INR 3200.00 spent on your SBI credit card at Croma Electronics. Avl limit: ₹46800.,alerts@sbi.co.in,EXPENSE
HDFC debit alert,Your HDFC savings account has been debited by ₹15000 via NEFT. Avl bal: ₹25400.,alerts@hdfcbank.com,EXPENSE
Airtel bill payment,Your Airtel postpaid bill of ₹749 has been paid via autopay from your bank account.,billing@airtel.in,EXPENSE
Meesho order confirmed,Your Meesho order for 3 items is confirmed. Total: ₹650. Prepaid via UPI.,orders@meesho.com,EXPENSE
Dunzo daily delivery,Your Dunzo Daily order has been delivered. Total: ₹180. Charged to wallet.,noreply@dunzo.com,EXPENSE
YES Bank transaction alert,INR 890.00 debited from your YES Bank account for POS purchase at DMart.,alerts@yesbank.in,EXPENSE
Groww mutual fund SIP,Your Groww SIP of ₹2000 in Parag Parikh Flexi Cap Fund has been processed.,noreply@groww.in,EXPENSE
Licious order delivered,Your Licious order has been delivered. Total: ₹520. Paid via PhonePe.,orders@licious.in,EXPENSE
CRED cashback earned,₹89 CRED cashback earned on your credit card bill payment of ₹4339.85.,rewards@cred.club,EXPENSE
