subject,body,sender,label
Courier charges paid,Blue Dart courier charges of ₹350 debited for shipment tracking 123456.,noreply@bluedart.com,EXPENSE
Apple Music,Apple Music subscription ₹99 charged to Apple Pay. Renewed until April 2026.,no-reply@email.apple.com,EXPENSE
News,The New York Times subscription ₹750/month.,billing@nytimes.com,EXPENSE
Microsoft 365,Microsoft 365 Family ₹5299 charged. Annual subscription renewed.,billing@microsoft.com,EXPENSE
DLP,Forcepoint DLP subscription ₹35000/month.,billing@forcepoint.com,EXPENSE
Consumer durable EMI,Consumer loan EMI ₹2900 paid for refrigerator. Loan: CD-2024-345.,consumer@hdfc.com,EXPENSE
Two-wheeler insurance,HDFC Ergo two-wheeler insurance ₹3800 paid. Policy: TW-2024-678.,insurance@hdfcergo.com,EXPENSE
Wireframing,Balsamiq subscription ₹750/month.,billing@balsamiq.com,EXPENSE
Documentation,GitBook subscription ₹1800/month.,billing@gitbook.com,EXPENSE
MakeMyTrip cab,MakeMyTrip outstation cab booked. Delhi to Agra. ₹4200.,cabs@makemytrip.com,EXPENSE
Serverless,Netlify Pro subscription ₹950/month.,billing@netlify.com,EXPENSE
UPI payment,UPI payment of ₹450 to Zomato successful. Ref: UPI987654321.,upi@paytm.com,EXPENSE
Dropbox Plus,Dropbox Plus 2TB subscription ₹950 charged to card. Monthly plan renewed.,billing@dropbox.com,EXPENSE
Paytm postpaid bill,Your Paytm Postpaid bill of ₹2340 for March is due on April 5. Pay now.,billing@paytm.com,EXPENSE
Meesho order,"Meesho order confirmed. 2 items, total ₹450 via UPI.",orders@meesho.com,EXPENSE
Online course,Udemy course 'Advanced React' purchased for ₹1499.,noreply@udemy.com,EXPENSE
ICICI card summary,"ICICI credit card bill summary: ₹35600. Charges ₹38900, Credits ₹3300. Due: April 15.",billing@icicibank.com,EXPENSE
Ola ride payment confirmed,Your Ola ride fare of ₹190 has been paid via Ola Money.,noreply@ola.com,EXPENSE
Restaurant bill,Payment of ₹850 made at BBQ Nation via credit card.,payment@upi.com,EXPENSE
Lenskart,Eye exam payment ₹650 at Lenskart Vision Care.,billing@lenskart.com,EXPENSE
PaaS,Google Cloud Run bill $45.00 for March.,billing@google.com,EXPENSE
Petrol pump receipt,HPCL fuel purchase: 15 litres. Total: ₹1620. Payment via credit card.,receipt@hpcl.com,EXPENSE
GST invoice,GST Invoice #INV-2024-089. Amount: ₹25000 + GST ₹4500.,invoices@techvendor.co.in,EXPENSE
VPN,ExpressVPN Business subscription ₹1500/user/month.,billing@expressvpn.com,EXPENSE
Cab ride receipt,Your Uber ride receipt. Fare: ₹245. Payment method: Credit Card ending 1234.,receipt@uber.com,EXPENSE
Home loan EMI deducted,Your HDFC home loan EMI of ₹35000 has been auto-debited from your account. Loan: HL-2024-789.,emi@hdfc.com,EXPENSE
Version control,Figma subscription ₹1200/month charged.,billing@figma.com,EXPENSE
Threat intel,Flashpoint subscription ₹35000/month.,billing@flashpoint.io,EXPENSE
Development,Pluralsight subscription ₹1200/user/month.,billing@pluralsight.com,EXPENSE
Wall Street Journal,WSJ digital subscription ₹950 charged. Monthly plan renewed.,subscription@wsj.com,EXPENSE
Logging,Loggly subscription ₹3200/month.,billing@loggly.com,EXPENSE
Gas bill statement,Mahanagar Gas bill for March: ₹920. Due: April 8. Pay now to avoid disconnection.,billing@mahanagargas.com,EXPENSE
Society maintenance,Monthly society maintenance ₹6500 debited.,accounts@society.com,EXPENSE
Freelance payment,Payment of USD 300 received for project #2024-04. Converted to ₹24750.,payment@upwork.com,EXPENSE
Google One,Google One 100GB plan renewed. ₹130/month to GPay.,payments-noreply@google.com,EXPENSE
Union Bank card,Union Bank credit card: ₹26800. Pay by April 25 to avoid interest.,bills@unionbankofindia.com,EXPENSE
Video editing,Adobe Premiere Pro subscription ₹2500/month charged.,billing@adobe.com,EXPENSE
Toll charges debited,Your Paytm FASTag was charged ₹145 at Kherki Daula toll plaza on NH-48.,fastag@paytm.com,EXPENSE
Clothing store,H&M purchase ₹2100 paid via credit card.,orders@hm.com,EXPENSE
Pre-EMI interest,Home loan pre-EMI interest of ₹2500 charged. Account: HL-2024-789.,interest@hdfc.com,EXPENSE
Paytm mall order confirmed,Your Paytm Mall order for Boat earbuds has been confirmed. Total: ₹999. Paid via Paytm wallet.,orders@paytmmall.com,EXPENSE
Analytics tool,Google Analytics 360 subscription ₹18000/month.,billing@analytics.com,EXPENSE
Marketing automation,HubSpot subscription ₹13500/month charged.,billing@hubspot.com,EXPENSE
Container registry,Harbor subscription ₹8500/month.,billing@goharbor.io,EXPENSE
Credit card bill summary,"Your PNB credit card bill summary: Charges ₹18950, Credits ₹2500, Net payable ₹16450. Due: April 7.",bills@pnb.co.in,EXPENSE
Container security,Aqua Security subscription ₹18000/month.,billing@aquasec.com,EXPENSE
Yes Bank card bill,Yes Bank credit card bill: ₹19800. Last date: April 20. Minimum: ₹1980.,bills@yesbank.in,EXPENSE
Performance,Lattice subscription ₹3800/month.,billing@lattice.com,EXPENSE
Accounting,QuickBooks subscription ₹1800/month charged.,billing@quickbooks.com,EXPENSE
HDFC annual fee,HDFC credit card annual fee ₹500 applied to Regalia card.,cards@hdfcbank.com,EXPENSE
Cult.fit,Cult.fit membership renewed. ₹1499/month charged.,billing@curefit.com,EXPENSE
